Product Group,Industry,Month,Monthly Spend (£000s)
Agriculture,Agriculture industry,2023-01,28731.3
Agriculture,Agriculture industry,2023-02,386.74
Agriculture,Agriculture industry,2023-03,7424.41
Agriculture,Agriculture industry,2023-04,71683.25
Agriculture,Agriculture industry,2023-05,42134.24
Agriculture,Agriculture industry,2023-06,58893.7
Agriculture,Agriculture industry,2023-07,92416.77
Agriculture,Agriculture industry,2023-08,79013.86
Agriculture,Agriculture industry,2023-09,51569.1
Agriculture,Agriculture industry,2023-10,277703.61
Agriculture,Agriculture industry,2023-11,2098.59
Agriculture,Agriculture industry,2023-12,73624.44
Production,Agriculture industry,2023-01,174466.0
Production,Agriculture industry,2023-02,524494.45
Production,Agriculture industry,2023-03,46928.24
Production,Agriculture industry,2023-04,29188.87
Production,Agriculture industry,2023-05,199873.32
Production,Agriculture industry,2023-06,78717.08
Production,Agriculture industry,2023-07,31717.15
Production,Agriculture industry,2023-08,97579.46
Production,Agriculture industry,2023-09,72557.03
Production,Agriculture industry,2023-10,122097.96
Production,Agriculture industry,2023-11,204809.29
Production,Agriculture industry,2023-12,36463.15
Construction,Agriculture industry,2023-01,2635.16
Construction,Agriculture industry,2023-02,1947.14
Construction,Agriculture industry,2023-03,2775.78
Construction,Agriculture industry,2023-04,2280.27
Construction,Agriculture industry,2023-05,7977.16
Construction,Agriculture industry,2023-06,588.14
Construction,Agriculture industry,2023-07,8729.54
Construction,Agriculture industry,2023-08,1274.83
Construction,Agriculture industry,2023-09,2158.25
Construction,Agriculture industry,2023-10,1636.48
Construction,Agriculture industry,2023-11,246.54
Construction,Agriculture industry,2023-12,2709.71
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-01,47396.26
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-02,3726.04
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-03,16600.59
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-04,53699.16
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-05,18203.46
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-06,12347.96
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-07,95496.27
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-08,1143.08
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-09,946.49
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-10,8284.76
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-11,27693.33
"Distribution, transport, hotels and restaurants",Agriculture industry,2023-12,10769.59
Information and communication,Agriculture industry,2023-01,2432.49
Information and communication,Agriculture industry,2023-02,2936.25
Information and communication,Agriculture industry,2023-03,5989.98
Information and communication,Agriculture industry,2023-04,8984.87
Information and communication,Agriculture industry,2023-05,1906.18
Information and communication,Agriculture industry,2023-06,606.02
Information and communication,Agriculture industry,2023-07,2242.73
Information and communication,Agriculture industry,2023-08,3508.7
Information and communication,Agriculture industry,2023-09,6548.52
Information and communication,Agriculture industry,2023-10,2554.67
Information and communication,Agriculture industry,2023-11,6494.97
Information and communication,Agriculture industry,2023-12,1583.62
Finance and insurance,Agriculture industry,2023-01,963.11
Finance and insurance,Agriculture industry,2023-02,8867.95
Finance and insurance,Agriculture industry,2023-03,14460.07
Finance and insurance,Agriculture industry,2023-04,2977.65
Finance and insurance,Agriculture industry,2023-05,985.79
Finance and insurance,Agriculture industry,2023-06,24179.51
Finance and insurance,Agriculture industry,2023-07,24730.62
Finance and insurance,Agriculture industry,2023-08,963.51
Finance and insurance,Agriculture industry,2023-09,1878.67
Finance and insurance,Agriculture industry,2023-10,5027.95
Finance and insurance,Agriculture industry,2023-11,30558.83
Finance and insurance,Agriculture industry,2023-12,1247.34
Real estate,Agriculture industry,2023-01,4469.34
Real estate,Agriculture industry,2023-02,365.99
Real estate,Agriculture industry,2023-03,1898.5
Real estate,Agriculture industry,2023-04,5365.14
Real estate,Agriculture industry,2023-05,2721.62
Real estate,Agriculture industry,2023-06,7649.98
Real estate,Agriculture industry,2023-07,23230.27
Real estate,Agriculture industry,2023-08,1796.55
Real estate,Agriculture industry,2023-09,1446.9
Real estate,Agriculture industry,2023-10,2342.2
Real estate,Agriculture industry,2023-11,1234.66
Real estate,Agriculture industry,2023-12,5448.83
Professional and support activities,Agriculture industry,2023-01,147283.54
Professional and support activities,Agriculture industry,2023-02,53241.51
Professional and support activities,Agriculture industry,2023-03,10086.76
Professional and support activities,Agriculture industry,2023-04,17587.32
Professional and support activities,Agriculture industry,2023-05,94941.13
Professional and support activities,Agriculture industry,2023-06,15581.6
Professional and support activities,Agriculture industry,2023-07,7581.35
Professional and support activities,Agriculture industry,2023-08,5199.95
Professional and support activities,Agriculture industry,2023-09,61144.69
Professional and support activities,Agriculture industry,2023-10,69306.48
Professional and support activities,Agriculture industry,2023-11,53219.88
Professional and support activities,Agriculture industry,2023-12,7499.8
"Government, health and education",Agriculture industry,2023-01,352.46
"Government, health and education",Agriculture industry,2023-02,54.9
"Government, health and education",Agriculture industry,2023-03,156.11
"Government, health and education",Agriculture industry,2023-04,104.28
"Government, health and education",Agriculture industry,2023-05,387.43
"Government, health and education",Agriculture industry,2023-06,522.18
"Government, health and education",Agriculture industry,2023-07,146.66
"Government, health and education",Agriculture industry,2023-08,87.35
"Government, health and education",Agriculture industry,2023-09,53.64
"Government, health and education",Agriculture industry,2023-10,32.39
"Government, health and education",Agriculture industry,2023-11,47.41
"Government, health and education",Agriculture industry,2023-12,264.2
Other services,Agriculture industry,2023-01,2389.74
Other services,Agriculture industry,2023-02,1878.52
Other services,Agriculture industry,2023-03,239.39
Other services,Agriculture industry,2023-04,108.93
Other services,Agriculture industry,2023-05,1542.66
Other services,Agriculture industry,2023-06,2669.62
Other services,Agriculture industry,2023-07,679.9
Other services,Agriculture industry,2023-08,89.25
Other services,Agriculture industry,2023-09,40.81
Other services,Agriculture industry,2023-10,62.89
